transaccion_id,perfil_id,version_perfil_aplicada,fecha,descripcion_original,descripcion_normalizada,valor,moneda,direccion,tipo_movimiento,categoria_principal,subcategoria,finalidad,esencialidad,relacion_actividad,relacion_hobby,meta_relacionada,nota_usuario,es_recurrente,estado_clasificacion,estado_alcance_mvp,requiere_confirmacion,motivo_confirmacion,evidencia_contextual,confianza_objetivo,etiqueta_revisada,canal,particion,historia_financiera_controlada,es_sintetico,version_taxonomia,version_esquema,estado_ingreso_perfil,regularidad_movimiento,modalidad_ingreso_observada,categoria_confirmada_usuario,confirmacion_usuario,fuente_etiqueta,ocurrencias_previas_90d,meses_previos_con_movimiento,dias_desde_movimiento_similar,variacion_valor_previa_pct,historial_regularidad_disponible,criterio_regularidad,fuente_regularidad,regularidad_confirmada_usuario,huella_registro
TX_0001_0001,PERF_0001,perfil_estructurado_v2.0,2026-04-02,PAGO ARRIENDO,pago arriendo,427000,COP,salida,gasto,Vivienda,arriendo,consumo_personal,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:pago arriendo,0.889,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Vivienda,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,df75d709f1fb24d34131658247a463a0064becede9d8dfa844e7156b154eeee2
TX_0001_0002,PERF_0001,perfil_estructurado_v2.0,2026-04-02,ALMUERZO,almuerzo,54000,COP,salida,gasto,Alimentación,restaurante,consumo_personal,discrecional,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:almuerzo,0.959,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Alimentación,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,c867f38949ce39522ff1b067e1c494168d1c20bcf872bc8c8500138c63d69ce7
TX_0001_0003,PERF_0001,perfil_estructurado_v2.0,2026-04-03,REPUESTO TRANSPORTE,repuesto transporte,70000,COP,salida,gasto,Transporte,mantenimiento,consumo_mixto,mixta,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:repuesto transporte,0.883,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Transporte,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,a5e39c33c498c3ec2737aa6fab2fdc26c4445a64e29b8885451c1d159de2434a
TX_0001_0004,PERF_0001,perfil_estructurado_v2.0,2026-04-03,HOTEL TURISMO,hotel turismo,90000,COP,salida,gasto,Ocio,viajes,hobby,protegida,,turismo_y_viajes,,,si,clasificada,dentro_del_mvp,no,,hobby:turismo_y_viajes | descripcion:hotel turismo,0.956,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Ocio,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,0505855cc68b1d3c8e6238d0c7087d87b99dbc4d1d93b29a0d1323a05d485d5c
TX_0001_0005,PERF_0001,perfil_estructurado_v2.0,2026-04-05,APP DOMICILIO COMIDA,app domicilio comida,53000,COP,salida,gasto,Alimentación,domicilio,consumo_personal,discrecional,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:app domicilio comida,0.924,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Alimentación,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,f5f9111421666b8f1d5dd5df444de11477bad274d247324535dc74b2ecaf6163
TX_0001_0006,PERF_0001,perfil_estructurado_v2.0,2026-04-05,ACCESORIOS PERSONALES,accesorios personales,76000,COP,salida,gasto,Vestimenta,accesorios,consumo_personal,discrecional,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:accesorios personales,0.909,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Vestimenta,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,637394680597a7704cdd5b04a625f75a953729e86a8e2d486b77e73a66f00ff0
TX_0001_0007,PERF_0001,perfil_estructurado_v2.0,2026-04-07,ARREGLO VIVIENDA,arreglo vivienda,86000,COP,salida,gasto,Vivienda,reparación,consumo_personal,necesaria,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:arreglo vivienda,0.866,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Vivienda,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,30bb8b2e3063d12210bdf21b601b44e118a7dc811ea92b4307f3c18d4e32b961
TX_0001_0008,PERF_0001,perfil_estructurado_v2.0,2026-04-07,DROGUERIA,drogueria,130000,COP,salida,gasto,Salud,medicamentos,consumo_personal,esencial,,,,,no,clasificada,dentro_del_mvp,no,,descripcion:drogueria,0.955,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Salud,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compra_o_consumo_no_periodico,regla_semantica_mvp_v3,no,3639ae131c97d39efbdb90b861b85d78518fb93a7795646505ea5ae3f25889aa
TX_0001_0009,PERF_0001,perfil_estructurado_v2.0,2026-04-05,PAGO INGRESO PRINCIPAL,pago ingreso principal,1350000,COP,entrada,ingreso_generado,Ingresos laborales,ingreso principal recurrente,generacion_ingreso,productiva,ingenieria_y_desarrollo_de_software,,,,si,clasificada,dentro_del_mvp,no,,actividad_cuoc:25120,0.98,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,mixto,Ingresos laborales,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,modalidad_de_ingreso_observada,historia_controlada_mvp_v2,no,f153f07ac90b98e80c9bf6d0cab6fa69c703ef1eb1ebeecd3a0afe59d0a1b07c
TX_0001_0010,PERF_0001,perfil_estructurado_v2.0,2026-04-09,RECARGA TRANSPORTE,recarga transporte,149000,COP,salida,gasto,Transporte,público,consumo_personal,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:recarga transporte,0.945,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Transporte,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,399e1ec3047998ba2f8d8f2820251111f5efeb1c985595fcf93c76396a520940
TX_0001_0011,PERF_0001,perfil_estructurado_v2.0,2026-04-09,UNIFORME TRABAJO,uniforme trabajo,59000,COP,salida,gasto,Vestimenta,uniformes,laboral,productiva,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:uniforme trabajo,0.887,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,variable,,Vestimenta,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,recurrente_con_monto_o_decision_variable,regla_semantica_mvp_v3,no,6f73fdae54dfd6e11f1f296e32d139f1d07b12619542d4d9271f9769b8d02586
TX_0001_0012,PERF_0001,perfil_estructurado_v2.0,2026-04-10,PAGO CREDITO,pago credito,135000,COP,salida,pago_deuda,Deuda y financiación,pago de capital,pago_deuda,compromiso,,,,credito educativo,si,clasificada,dentro_del_mvp,no,,descripcion:pago credito,0.943,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Deuda y financiación,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,recurrencia_de_pago_observada,historia_controlada_mvp_v2,no,1978e2d7763d6579148f1ba3c74fd4bfa628b1e006040fff1f1ea093c7bcf65d
TX_0001_0013,PERF_0001,perfil_estructurado_v2.0,2026-04-12,FACTURA INTERNET,factura internet,130000,COP,salida,gasto,Servicios,internet,consumo_mixto,esencial,,,,,si,clasificada,dentro_del_mvp,no,,descripcion:factura internet,0.899,si,bancario,train,acumulacion_estable,si,transacciones_mvp_v3.0,fincoach_mvp_estructurado_v3.0,mixto,fijo,,Servicios,si,historia_controlada_y_confirmacion_usuario,0,0,,,no,compromiso_periodico_predecible,regla_semantica_mvp_v3,no,559e7ae9e0ab5e5adb1d6698a8a906ff01190dbd4cc277b12c86f0dcdf4704d6
