ventana_id,perfil_id,estado_alcance_mvp,fecha_corte,periodo_desde,periodo_hasta,tipo_ventana,dias_observados,transacciones_observadas,porcentaje_transacciones_clasificables,ingresos_generados,apoyos_recibidos,prestamos_recibidos,devoluciones_y_reembolsos,otros_recursos_recibidos,gastos_totales,gastos_esenciales,gastos_hobbies,inversion_productiva,pagos_deuda,transferencias_propias,liquidez_inicial,liquidez_final,deuda_inicial,deuda_final,actividad_A,balance_operativo_B,presion_deficit_Q,caida_maxima_M,tiempo_sin_recuperar_U_dias,recuperacion_R,curvatura_K,variabilidad_ingresos_V,cobertura_esencial_L_meses,dependencia_externa_X,crecimiento_deuda_J,estado_trayectoria,estado_calculo,calidad_datos,nivel_incertidumbre,factores_positivos,factores_atencion,informacion_faltante,explicacion_periodo,fuente_etiqueta,particion,historia_financiera_controlada,es_sintetico,version_metodologia,version_esquema,huella_registro,ingresos_fijos,ingresos_variables,ingresos_estacionales,periodos_sin_ingreso,gastos_fijos,gastos_variables,pagos_capital,pagos_intereses,nueva_deuda
VEN_0001_1,PERF_0001,dentro_del_mvp,2026-04-30,2026-04-01,2026-04-30,acumulada_30_dias,30,31,93.5484,1350000,0,0,0,0,3534000,2754000,177000,333000,135000,0,1662767,-521233,8031665,7896665,4884000,-2184000,2184000,2764000,25,0.0,0.0,0.0,0.0,0.0,-0.0168,situacion_critica,calculado,alta,baja,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-04-30 muestra un balance de -2184000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,acumulacion_estable,si,roadmap_14_mvp_estructurado_v2.0,fincoach_mvp_estructurado_v2.0,a932fbc0ed3dcae484576c15a12395435d2dabcfecc0d30a358076e7be5245f1,1350000,0,0,0,2487000,1047000,135000,0,0
VEN_0001_2,PERF_0001,dentro_del_mvp,2026-05-31,2026-04-01,2026-05-31,acumulada_61_dias,61,63,95.2381,6283000,0,0,0,0,7068000,4417000,322000,1516000,389000,33000,1662767,877767,8031665,7642665,13351000,-785000,785000,4260000,56,0.3914,59931.1475,0.5703,0.3974,0.0,-0.0484,fragilidad_sostenida,calculado,alta,baja,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-05-31 muestra un balance de -785000 COP y una cobertura estimada de 0.40 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,acumulacion_estable,si,roadmap_14_mvp_estructurado_v2.0,fincoach_mvp_estructurado_v2.0,e6d2aec8c515a9a14472e1a362c29ffd296d2efcf9c3054a5e3a6e958b5745ca,6283000,0,0,0,5210000,1858000,389000,0,0
VEN_0001_3,PERF_0001,dentro_del_mvp,2026-06-30,2026-04-01,2026-06-30,acumulada_91_dias,91,96,94.7917,13430000,0,0,0,0,10602000,6811000,598000,1749000,662000,168000,1662767,4490767,8031665,7512665,24032000,2828000,0,4260000,0,1.0,43945.7755,0.5335,1.978,0.0,-0.0646,variable_resiliente,calculado,alta,baja,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 2828000 COP y una cobertura estimada de 1.98 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,acumulacion_estable,si,roadmap_14_mvp_estructurado_v2.0,fincoach_mvp_estructurado_v2.0,6f2f344a0d4e3f950cc9684a926c113b4c78a7aa26cce03a92885581ce58234e,13430000,0,0,0,8272000,2330000,519000,143000,0
VEN_0002_1,PERF_0002,dentro_del_mvp,2026-04-30,2026-04-01,2026-04-30,acumulada_30_dias,30,30,96.6667,1060000,0,0,0,0,3583000,2241000,116000,656000,0,363000,10224606,7701606,3753786,3753786,4643000,-2523000,2523000,2523000,28,0.7532,0.0,0.0,3.4367,0.0,0.0,uso_planificado_reserva,calculado,alta,baja,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-04-30 muestra un balance de -2523000 COP y una cobertura estimada de 3.44 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,equilibrio_sostenible,si,roadmap_14_mvp_estructurado_v2.0,fincoach_mvp_estructurado_v2.0,52aa931bd24a0b8154789a512d2f7b3e86ad1f14f5759130583d163c3881a4c1,1060000,0,0,0,2564000,1019000,0,0,0
VEN_0002_2,PERF_0002,dentro_del_mvp,2026-05-31,2026-04-01,2026-05-31,acumulada_61_dias,61,61,98.3607,2120000,0,0,0,0,7166000,4303000,348000,1410000,0,363000,10224606,5178606,3753786,3753786,9286000,-5046000,5046000,5046000,59,0.5065,1378.6885,0.0,2.407,0.0,0.0,uso_planificado_reserva,calculado,alta,baja,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-05-31 muestra un balance de -5046000 COP y una cobertura estimada de 2.41 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,equilibrio_sostenible,si,roadmap_14_mvp_estructurado_v2.0,fincoach_mvp_estructurado_v2.0,1e1bd256ca4f23f018e68dcf873ca493ab0085fa6a1ebc098fc3567f426b17be,2120000,0,0,0,4771000,2395000,0,0,0
VEN_0002_3,PERF_0002,dentro_del_mvp,2026-06-30,2026-04-01,2026-06-30,acumulada_91_dias,91,89,98.8764,3180000,0,0,0,0,10749000,5893000,603000,2273000,0,840000,10224606,2655606,3753786,3753786,13929000,-7569000,7569000,7569000,89,0.2597,-454.5127,0.0,1.3519,0.0,0.0,fragilidad_sostenida,calculado,alta,baja,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -7569000 COP y una cobertura estimada de 1.35 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,equilibrio_sostenible,si,roadmap_14_mvp_estructurado_v2.0,fincoach_mvp_estructurado_v2.0,4a812ba8c02b76897440a9ed429511e224a06dbea3da81cd96942e5ac902a13d,3180000,0,0,0,7601000,3148000,0,0,0
VEN_0003_1,PERF_0003,dentro_del_mvp,2026-04-30,2026-04-01,2026-04-30,acumulada_30_dias,30,31,96.7742,6091000,0,0,0,0,5971000,3805000,366000,470000,177000,584000,4102250,4222250,8758948,8581948,12062000,120000,0,1887000,2,0.9449,0.0,0.0,1.1097,0.0,-0.0202,equilibrio_sostenible,calculado,alta,baja,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-04-30 muestra un balance de 120000 COP y una cobertura estimada de 1.11 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,variable_resiliente,si,roadmap_14_mvp_estructurado_v2.0,fincoach_mvp_estructurado_v2.0,8645719256d0d9f53492c60f3296fe5581253e01110056594381428127882eb7,6091000,0,0,0,3538000,2433000,177000,0,0
VEN_0003_2,PERF_0003,dentro_del_mvp,2026-05-31,2026-04-01,2026-05-31,acumulada_61_dias,61,65,95.3846,15956000,0,0,0,0,10144000,6481000,940000,915000,354000,740000,4102250,9914250,8758948,8404948,26100000,5812000,0,1887000,6,0.9969,91278.6885,0.2365,3.0595,0.0,-0.0404,variable_resiliente,calculado,alta,baja,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-05-31 muestra un balance de 5812000 COP y una cobertura estimada de 3.06 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,variable_resiliente,si,roadmap_14_mvp_estructurado_v2.0,fincoach_mvp_estructurado_v2.0,bf0f1e90ac4526f4ad676bff59522c1deafb71bfe9f5fc23e42b0e250293c3cd,15956000,0,0,0,7120000,3024000,354000,0,0
VEN_0003_3,PERF_0003,dentro_del_mvp,2026-06-30,2026-04-01,2026-06-30,acumulada_91_dias,91,99,95.9596,26247000,0,0,0,0,14317000,9160000,1394000,1383000,830000,740000,4102250,16032250,8758948,8136948,40564000,11930000,0,1887000,0,1.0,35820.2126,0.2157,5.2507,0.0,-0.071,variable_resiliente,calculado,alta,baja,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 11930000 COP y una cobertura estimada de 5.25 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,variable_resiliente,si,roadmap_14_mvp_estructurado_v2.0,fincoach_mvp_estructurado_v2.0,a482b32d0f27462b1099cbdeed730488b28bc96ba0cc7eb8b2b3a40e42bbef79,26247000,0,0,0,10244000,4073000,622000,208000,0
VEN_0004_1,PERF_0004,dentro_del_mvp,2026-04-30,2026-04-01,2026-04-30,acumulada_30_dias,30,33,100.0,10975000,0,0,0,0,5860000,3456000,270000,1212000,193000,372000,22524685,27639685,17967899,17967899,16835000,5115000,0,2863000,0,1.0,0.0,0.0,7.9976,0.0,0.0,acumulacion_estable,calculado,alta,baja,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-04-30 muestra un balance de 5115000 COP y una cobertura estimada de 8.00 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,uso_planificado_reserva,si,roadmap_14_mvp_estructurado_v2.0,fincoach_mvp_estructurado_v2.0,8dabca93ffc541f0a295a0fce733a1fa6df199e8f68abf5cfec2cbb5c84877fd,10178000,797000,0,0,3874000,1986000,0,193000,0
