perfil_id,descripcion_normalizada,direccion,tipo_movimiento,categoria_principal,ocurrencias,fecha_inicial,fecha_final,valor_mediano,dataset_declara_recurrente,regularidad_dataset,estado_ingreso_perfil,fechas_distintas,intervalo_mediano_dias,dispersion_intervalo_dias,cadencia_observada,regularidad_pct,estado_patron,naturaleza_observada,nivel_incertidumbre
PERF_0001,pago arriendo,salida,gasto,Vivienda,3,2026-04-02,2026-06-02,583000.0,True,fijo,mixto,3,30.5,2.5,mensual,100.0,regularidad_observada,fijo,media
PERF_0001,almuerzo,salida,gasto,Alimentación,2,2026-04-02,2026-06-03,67000.0,True,fijo,mixto,2,62.0,0.0,bimestral,100.0,posible_recurrencia,estacional,alta
PERF_0001,repuesto transporte,salida,gasto,Transporte,1,2026-04-03,2026-04-03,70000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,hotel turismo,salida,gasto,Ocio,2,2026-04-03,2026-06-19,89500.0,True,fijo,mixto,2,77.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0001,app domicilio comida,salida,gasto,Alimentación,1,2026-04-05,2026-04-05,53000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,accesorios personales,salida,gasto,Vestimenta,1,2026-04-05,2026-04-05,76000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,pago ingreso principal,entrada,ingreso_generado,Ingresos laborales,3,2026-04-05,2026-06-05,1350000.0,True,fijo,mixto,3,30.5,0.5,mensual,100.0,regularidad_observada,fijo,media
PERF_0001,arreglo vivienda,salida,gasto,Vivienda,2,2026-04-07,2026-04-12,87000.0,False,variable,mixto,2,5.0,0.0,semanal,100.0,posible_recurrencia,fijo,alta
PERF_0001,drogueria,salida,gasto,Salud,1,2026-04-07,2026-04-07,130000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,recarga transporte,salida,gasto,Transporte,4,2026-04-09,2026-06-21,141500.0,True,fijo,mixto,3,36.5,1.5,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0001,uniforme trabajo,salida,gasto,Vestimenta,2,2026-04-09,2026-05-11,50500.0,True,fijo,mixto,2,32.0,0.0,mensual,100.0,posible_recurrencia,fijo,alta
PERF_0001,pago credito,salida,pago_deuda,Deuda y financiación,5,2026-04-10,2026-06-15,135000.0,True,fijo,mixto,5,16.0,11.0,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0001,factura internet,salida,gasto,Servicios,6,2026-04-12,2026-06-20,130500.0,True,fijo,mixto,6,8.0,5.0,irregular,40.0,sin_regularidad_suficiente,variable,media
PERF_0001,factura agua,salida,gasto,Servicios,2,2026-04-12,2026-06-20,126000.0,True,fijo,mixto,2,69.0,0.0,bimestral,100.0,posible_recurrencia,estacional,alta
PERF_0001,copago salud,salida,gasto,Salud,1,2026-04-12,2026-04-12,127000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,restaurante,salida,gasto,Alimentación,1,2026-04-13,2026-04-13,86000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,cafe,salida,gasto,Alimentación,1,2026-04-14,2026-04-14,42000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,dominio y hosting,salida,gasto,Inversión productiva,6,2026-04-16,2026-05-20,130500.0,True,fijo,mixto,6,3.0,2.0,irregular,40.0,sin_regularidad_suficiente,variable,media
PERF_0001,hotel viaje,salida,gasto,Ocio,2,2026-04-16,2026-06-19,98000.0,True,fijo,mixto,2,64.0,0.0,bimestral,100.0,posible_recurrencia,estacional,alta
PERF_0001,factura energia,salida,gasto,Servicios,7,2026-04-20,2026-06-20,118000.0,True,fijo,mixto,4,24.0,1.0,irregular,66.67,sin_regularidad_suficiente,variable,media
PERF_0001,supermercado,salida,gasto,Alimentación,3,2026-04-29,2026-06-01,147000.0,True,fijo,mixto,3,16.5,12.5,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0001,cafeteria,salida,gasto,Alimentación,3,2026-04-29,2026-05-11,99000.0,True,fijo,mixto,3,6.0,0.0,semanal,100.0,regularidad_observada,fijo,media
PERF_0001,laboratorio clinico,salida,gasto,Salud,1,2026-04-29,2026-04-29,129000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,estacion servicio,salida,gasto,Transporte,2,2026-04-30,2026-05-12,80000.0,True,fijo,mixto,2,12.0,0.0,quincenal,100.0,posible_recurrencia,fijo,alta
PERF_0001,medicamentos,salida,gasto,Salud,1,2026-04-30,2026-04-30,160000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,capacitacion,salida,gasto,Educación,1,2026-05-05,2026-05-05,100000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,administracion conjunto,salida,gasto,Vivienda,4,2026-05-05,2026-06-16,113500.0,True,fijo,mixto,3,21.0,6.0,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0001,bus intermunicipal turismo,salida,gasto,Ocio,1,2026-05-10,2026-05-10,96000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,reserva viaje,salida,gasto,Ocio,1,2026-05-12,2026-05-12,49000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,donacion,salida,transferencia_apoyo,Transferencias y apoyo,2,2026-05-12,2026-06-21,43500.0,True,fijo,mixto,2,40.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0001,libro digital,salida,gasto,Educación,2,2026-05-13,2026-06-24,38000.0,True,fijo,mixto,2,42.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0001,app transporte,salida,gasto,Transporte,1,2026-05-13,2026-05-13,50000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,ingreso adicional,entrada,ingreso_generado,Trabajo independiente,7,2026-05-14,2026-06-30,1160000.0,True,fijo,mixto,7,7.5,5.5,irregular,33.33,sin_regularidad_suficiente,variable,media
PERF_0001,arreglo prenda,salida,gasto,Vestimenta,1,2026-05-15,2026-05-15,53000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,compra pos,salida,gasto,Otra / ambigua,1,2026-05-15,2026-05-15,30000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,servidor nube,salida,gasto,Inversión productiva,3,2026-05-19,2026-06-10,233000.0,True,fijo,mixto,2,22.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0001,mercado barrio,salida,gasto,Alimentación,1,2026-05-23,2026-05-23,78000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,licencia github,salida,gasto,Inversión productiva,1,2026-05-28,2026-05-28,249000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,examen medico,salida,gasto,Salud,1,2026-05-29,2026-05-29,106000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,pago qr,salida,gasto,Otra / ambigua,1,2026-06-01,2026-06-01,76000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,combustible,salida,gasto,Transporte,1,2026-06-09,2026-06-09,52000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,herramienta educativa,salida,gasto,Educación,1,2026-06-14,2026-06-14,102000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,viaje movilidad,salida,gasto,Transporte,1,2026-06-23,2026-06-23,83000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,transferencia a tercero,salida,transferencia_apoyo,Transferencias y apoyo,1,2026-06-23,2026-06-23,81000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0001,agencia de viajes,salida,gasto,Ocio,1,2026-06-26,2026-06-26,78000.0,False,variable,mixto,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,pago arriendo,salida,gasto,Vivienda,3,2026-04-02,2026-06-02,547000.0,True,fijo,fijo,3,30.5,1.5,mensual,100.0,regularidad_observada,fijo,media
PERF_0002,insumos consultorio,salida,gasto,Inversión productiva,5,2026-04-02,2026-05-25,176000.0,True,fijo,fijo,5,10.5,7.5,irregular,25.0,sin_regularidad_suficiente,variable,media
PERF_0002,tienda alimentos,salida,gasto,Alimentación,1,2026-04-03,2026-04-03,103000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,donacion,salida,transferencia_apoyo,Transferencias y apoyo,2,2026-04-04,2026-04-15,58500.0,False,variable,fijo,2,11.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0002,cafe,salida,gasto,Alimentación,2,2026-04-05,2026-06-04,51500.0,True,fijo,fijo,2,60.0,0.0,bimestral,100.0,posible_recurrencia,estacional,alta
PERF_0002,pago ingreso principal,entrada,ingreso_generado,Ingresos laborales,3,2026-04-05,2026-06-05,1060000.0,True,fijo,fijo,3,30.5,0.5,mensual,100.0,regularidad_observada,fijo,media
PERF_0002,factura energia,salida,gasto,Servicios,5,2026-04-08,2026-06-20,153000.0,True,fijo,fijo,4,26.0,17.0,irregular,33.33,sin_regularidad_suficiente,variable,media
PERF_0002,factura internet,salida,gasto,Servicios,4,2026-04-08,2026-06-15,123500.0,True,fijo,fijo,4,23.0,15.0,irregular,33.33,sin_regularidad_suficiente,variable,media
PERF_0002,bascula profesional,salida,gasto,Inversión productiva,7,2026-04-08,2026-06-28,173000.0,True,fijo,fijo,6,14.0,10.0,irregular,40.0,sin_regularidad_suficiente,variable,media
PERF_0002,transferencia ayuda,salida,transferencia_apoyo,Transferencias y apoyo,2,2026-04-12,2026-06-29,145500.0,True,fijo,fijo,2,78.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0002,capacitacion,salida,gasto,Educación,1,2026-04-16,2026-04-16,85000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,pago qr,salida,gasto,Otra / ambigua,1,2026-04-18,2026-04-18,61000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,examen medico,salida,gasto,Salud,1,2026-04-19,2026-04-19,155000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
PERF_0002,ferreteria reparacion,salida,gasto,Vivienda,2,2026-04-20,2026-06-25,69500.0,True,fijo,fijo,2,66.0,0.0,bimestral,100.0,posible_recurrencia,estacional,alta
PERF_0002,combustible,salida,gasto,Transporte,2,2026-04-22,2026-06-04,52500.0,True,fijo,fijo,2,43.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0002,supermercado,salida,gasto,Alimentación,3,2026-04-24,2026-06-10,114000.0,True,fijo,fijo,3,23.5,8.5,irregular,50.0,sin_regularidad_suficiente,variable,media
PERF_0002,cafeteria,salida,gasto,Alimentación,2,2026-04-24,2026-04-28,81000.0,False,variable,fijo,2,4.0,0.0,irregular,0.0,sin_regularidad_suficiente,variable,media
PERF_0002,transmilenio,salida,gasto,Transporte,1,2026-04-24,2026-04-24,137000.0,False,variable,fijo,1,,,no_determinable,0.0,evidencia_insuficiente,no_determinable,alta
