ventana_id,perfil_id,estado_alcance_mvp,fecha_corte,periodo_desde,periodo_hasta,tipo_ventana,dias_observados,transacciones_observadas,porcentaje_transacciones_clasificables,ingresos_generados,apoyos_recibidos,prestamos_recibidos,devoluciones_y_reembolsos,otros_recursos_recibidos,gastos_totales,gastos_esenciales,gastos_hobbies,inversion_productiva,pagos_deuda,transferencias_propias,liquidez_inicial,liquidez_final,deuda_inicial,deuda_final,actividad_A,balance_operativo_B,presion_deficit_Q,caida_maxima_M,tiempo_sin_recuperar_U_dias,recuperacion_R,curvatura_K,variabilidad_ingresos_V,cobertura_esencial_L_meses,dependencia_externa_X,crecimiento_deuda_J,estado_trayectoria,estado_calculo,calidad_datos,nivel_incertidumbre,factores_positivos,factores_atencion,informacion_faltante,explicacion_periodo,fuente_etiqueta,particion,historia_financiera_controlada,es_sintetico,version_metodologia,version_esquema,huella_registro,ingresos_fijos,ingresos_variables,ingresos_estacionales,periodos_sin_ingreso,gastos_fijos,gastos_variables,pagos_capital,pagos_intereses,nueva_deuda
VEN_0001_1,PERF_0001,dentro_del_mvp,2026-04-30,2026-04-01,2026-04-30,acumulada_30_dias,30,31,93.5484,1350000,0,0,0,0,3534000,2754000,177000,333000,135000,0,1662767,-521233,8031665,7896665,4884000,-2184000,2184000,2764000,25,0.0,0.0,0.0,0.0,0.0,-0.0168,situacion_critica,calculado,alta,baja,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-04-30 muestra un balance de -2184000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,acumulacion_estable,si,roadmap_14_mvp_estructurado_v3.0,fincoach_mvp_estructurado_v3.0,dffa487dbee60b9266a90a6dcae8010bd2e06dca6ec15ba112211cb0f105faf8,1350000,0,0,0,1736000,1798000,135000,0,0
VEN_0001_2,PERF_0001,dentro_del_mvp,2026-05-31,2026-04-01,2026-05-31,acumulada_61_dias,61,63,95.2381,6283000,0,0,0,0,7068000,4417000,322000,1516000,389000,33000,1662767,877767,8031665,7642665,13351000,-785000,785000,4260000,56,0.3914,59931.1475,0.5703,0.3974,0.0,-0.0484,fragilidad_sostenida,calculado,alta,baja,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-05-31 muestra un balance de -785000 COP y una cobertura estimada de 0.40 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,acumulacion_estable,si,roadmap_14_mvp_estructurado_v3.0,fincoach_mvp_estructurado_v3.0,959b591af33e9c59e83497ed2ea94f2d3e8edfe9e85076af55cf82daf0ae3d4e,6283000,0,0,0,4070000,2998000,389000,0,0
VEN_0001_3,PERF_0001,dentro_del_mvp,2026-06-30,2026-04-01,2026-06-30,acumulada_91_dias,91,96,94.7917,13430000,0,0,0,0,10602000,6811000,598000,1749000,662000,168000,1662767,4490767,8031665,7512665,24032000,2828000,0,4260000,0,1.0,43945.7755,0.5335,1.978,0.0,-0.0646,variable_resiliente,calculado,alta,baja,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 2828000 COP y una cobertura estimada de 1.98 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,acumulacion_estable,si,roadmap_14_mvp_estructurado_v3.0,fincoach_mvp_estructurado_v3.0,73c6e253d5346783bc6283cb0729f2a8170757d52feb0f0d483d62cdc741072b,13430000,0,0,0,6466000,4136000,519000,143000,0
VEN_0002_1,PERF_0002,dentro_del_mvp,2026-04-30,2026-04-01,2026-04-30,acumulada_30_dias,30,30,96.6667,1060000,0,0,0,0,3583000,2241000,116000,656000,0,363000,10224606,7701606,3753786,3753786,4643000,-2523000,2523000,2523000,28,0.7532,0.0,0.0,3.4367,0.0,0.0,uso_planificado_reserva,calculado,alta,baja,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-04-30 muestra un balance de -2523000 COP y una cobertura estimada de 3.44 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,equilibrio_sostenible,si,roadmap_14_mvp_estructurado_v3.0,fincoach_mvp_estructurado_v3.0,92f54fd49431eb64dd4a8311ae955454dbf3bdb7a0c63483cff851872e3f7e45,1060000,0,0,0,1350000,2233000,0,0,0
VEN_0002_2,PERF_0002,dentro_del_mvp,2026-05-31,2026-04-01,2026-05-31,acumulada_61_dias,61,61,98.3607,2120000,0,0,0,0,7166000,4303000,348000,1410000,0,363000,10224606,5178606,3753786,3753786,9286000,-5046000,5046000,5046000,59,0.5065,1378.6885,0.0,2.407,0.0,0.0,uso_planificado_reserva,calculado,alta,baja,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-05-31 muestra un balance de -5046000 COP y una cobertura estimada de 2.41 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,equilibrio_sostenible,si,roadmap_14_mvp_estructurado_v3.0,fincoach_mvp_estructurado_v3.0,6bbfc0239470c7ecf4be23c982a0c61949a4ac71b5090d85a1cd82d66a5a179f,2120000,0,0,0,2822000,4344000,0,0,0
VEN_0002_3,PERF_0002,dentro_del_mvp,2026-06-30,2026-04-01,2026-06-30,acumulada_91_dias,91,89,98.8764,3180000,0,0,0,0,10749000,5893000,603000,2273000,0,840000,10224606,2655606,3753786,3753786,13929000,-7569000,7569000,7569000,89,0.2597,-454.5127,0.0,1.3519,0.0,0.0,fragilidad_sostenida,calculado,alta,baja,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -7569000 COP y una cobertura estimada de 1.35 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,equilibrio_sostenible,si,roadmap_14_mvp_estructurado_v3.0,fincoach_mvp_estructurado_v3.0,11573d9647d050068e2eafb14d5bebdd34ef493ee57b863125faab035d9f22c5,3180000,0,0,0,4142000,6607000,0,0,0
VEN_0003_1,PERF_0003,dentro_del_mvp,2026-04-30,2026-04-01,2026-04-30,acumulada_30_dias,30,31,96.7742,6091000,0,0,0,0,5971000,3805000,366000,470000,177000,584000,4102250,4222250,8758948,8581948,12062000,120000,0,1887000,2,0.9449,0.0,0.0,1.1097,0.0,-0.0202,equilibrio_sostenible,calculado,alta,baja,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-04-30 muestra un balance de 120000 COP y una cobertura estimada de 1.11 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,variable_resiliente,si,roadmap_14_mvp_estructurado_v3.0,fincoach_mvp_estructurado_v3.0,4342ec345af655854200b2fa1edaca9a82fd855b92e35b0e710e2e41352cdd71,6091000,0,0,0,3110000,2861000,177000,0,0
VEN_0003_2,PERF_0003,dentro_del_mvp,2026-05-31,2026-04-01,2026-05-31,acumulada_61_dias,61,65,95.3846,15956000,0,0,0,0,10144000,6481000,940000,915000,354000,740000,4102250,9914250,8758948,8404948,26100000,5812000,0,1887000,6,0.9969,91278.6885,0.2365,3.0595,0.0,-0.0404,variable_resiliente,calculado,alta,baja,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-05-31 muestra un balance de 5812000 COP y una cobertura estimada de 3.06 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,variable_resiliente,si,roadmap_14_mvp_estructurado_v3.0,fincoach_mvp_estructurado_v3.0,c6c5f5682ce965b5f55f960dcd3ace1407a3c5b1fa5112b71d376b597422a751,15956000,0,0,0,5502000,4642000,354000,0,0
VEN_0003_3,PERF_0003,dentro_del_mvp,2026-06-30,2026-04-01,2026-06-30,acumulada_91_dias,91,99,95.9596,26247000,0,0,0,0,14317000,9160000,1394000,1383000,830000,740000,4102250,16032250,8758948,8136948,40564000,11930000,0,1887000,0,1.0,35820.2126,0.2157,5.2507,0.0,-0.071,variable_resiliente,calculado,alta,baja,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 11930000 COP y una cobertura estimada de 5.25 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,variable_resiliente,si,roadmap_14_mvp_estructurado_v3.0,fincoach_mvp_estructurado_v3.0,3815d671164907d1845a742c04c615a8975663da5516eba8e80838220d780356,26247000,0,0,0,7887000,6430000,622000,208000,0
VEN_0004_1,PERF_0004,dentro_del_mvp,2026-04-30,2026-04-01,2026-04-30,acumulada_30_dias,30,33,100.0,10975000,0,0,0,0,5860000,3456000,270000,1212000,193000,372000,22524685,27639685,17967899,17967899,16835000,5115000,0,2863000,0,1.0,0.0,0.0,7.9976,0.0,0.0,acumulacion_estable,calculado,alta,baja,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-04-30 muestra un balance de 5115000 COP y una cobertura estimada de 8.00 meses. Este resultado describe el periodo y no a la persona.,historia_controlada_recalculada_v2,train,uso_planificado_reserva,si,roadmap_14_mvp_estructurado_v3.0,fincoach_mvp_estructurado_v3.0,b5817441d8493e09a8695ae302a3004e7b5942bb3798b05af793e39347d052e9,10178000,797000,0,0,3509000,2351000,0,193000,0
