perfil_id,direccion,semanas_observadas,transacciones_observadas,promedio_semanal,pendiente_semanal,cambio_relativo_pct,estado_tendencia,nivel_incertidumbre
PERF_0001,salida,13,86,815538.46,1269.23,1.87,estabilidad_observada,media
PERF_0001,entrada,14,10,959285.71,112421.98,152.35,aumento_observado,media
PERF_0002,salida,14,86,767785.71,-25114.29,-42.52,disminucion_observada,media
PERF_0002,entrada,10,3,318000.0,,,evidencia_insuficiente,alta
PERF_0003,salida,13,58,1101307.69,-38203.3,-41.63,disminucion_observada,media
PERF_0003,entrada,13,41,2019000.0,123186.81,73.22,aumento_observado,media
PERF_0004,salida,14,76,2620000.0,72756.04,36.1,aumento_observado,media
PERF_0004,entrada,13,22,1822000.0,-4060.44,-2.67,estabilidad_observada,media
PERF_0005,salida,13,61,843230.77,25774.73,36.68,aumento_observado,media
PERF_0005,entrada,14,4,115714.29,,,evidencia_insuficiente,alta
PERF_0006,salida,14,65,2029142.86,-53156.04,-34.06,disminucion_observada,media
PERF_0006,entrada,13,5,220000.0,18901.1,103.1,aumento_observado,media
PERF_0007,salida,13,58,2743538.46,85038.46,37.2,aumento_observado,media
PERF_0007,entrada,14,6,331857.14,18043.96,70.68,aumento_observado,media
PERF_0008,salida,14,73,912000.0,-33503.3,-47.76,disminucion_observada,media
PERF_0008,entrada,10,4,156000.0,,,evidencia_insuficiente,alta
PERF_0009,salida,14,88,844714.29,-26553.85,-40.87,disminucion_observada,media
PERF_0009,entrada,11,9,1154090.91,-1445.45,-1.25,estabilidad_observada,media
PERF_0010,salida,14,73,844928.57,-49549.45,-76.24,disminucion_observada,media
PERF_0010,entrada,13,22,1064769.23,68390.11,77.08,aumento_observado,media
PERF_0011,entrada,13,25,2162538.46,-88631.87,-49.18,disminucion_observada,media
PERF_0011,salida,14,65,3224857.14,113336.26,45.69,aumento_observado,media
PERF_0012,salida,14,80,993642.86,1751.65,2.29,estabilidad_observada,media
PERF_0012,entrada,13,13,830692.31,76895.6,111.08,aumento_observado,media
PERF_0013,entrada,13,37,815230.77,6604.4,9.72,estabilidad_observada,media
PERF_0013,salida,14,63,1739285.71,-15529.67,-11.61,estabilidad_observada,media
PERF_0014,salida,14,80,2393428.57,-65775.82,-35.73,disminucion_observada,media
PERF_0014,entrada,13,15,905461.54,16527.47,21.9,estabilidad_observada,media
PERF_0015,salida,14,79,653142.86,-26628.57,-53.0,disminucion_observada,media
PERF_0015,entrada,14,17,1121785.71,29378.02,34.05,aumento_observado,media
PERF_0016,salida,14,81,998571.43,-38479.12,-50.09,disminucion_observada,media
PERF_0016,entrada,12,7,449166.67,6846.15,16.77,estabilidad_observada,media
PERF_0017,salida,14,69,817571.43,-7705.49,-12.25,estabilidad_observada,media
PERF_0017,entrada,10,4,254300.0,,,evidencia_insuficiente,alta
PERF_0018,salida,14,80,2514714.29,62808.79,32.47,aumento_observado,media
PERF_0018,entrada,12,5,300250.0,4129.37,15.13,estabilidad_observada,media
PERF_0019,salida,14,91,450071.43,7540.66,21.78,estabilidad_observada,media
PERF_0019,entrada,12,9,441666.67,18727.27,46.64,aumento_observado,media
PERF_0020,salida,14,76,1173857.14,-22140.66,-24.52,estabilidad_observada,media
PERF_0020,entrada,12,21,628166.67,62202.8,108.93,aumento_observado,media
PERF_0021,salida,14,54,5344428.57,-198202.2,-48.21,disminucion_observada,media
PERF_0021,entrada,13,37,1986153.85,111181.32,67.17,aumento_observado,media
PERF_0022,salida,14,79,892500.0,-21751.65,-31.68,disminucion_observada,media
PERF_0022,entrada,13,16,1636307.69,17978.02,13.18,estabilidad_observada,media
PERF_0023,salida,14,76,1177500.0,-17074.73,-18.85,estabilidad_observada,media
PERF_0023,entrada,13,18,1366846.15,130483.52,114.56,aumento_observado,media
PERF_0024,salida,14,78,1020500.0,-8569.23,-10.92,estabilidad_observada,media
PERF_0024,entrada,12,16,907916.67,-35814.69,-43.39,disminucion_observada,media
PERF_0025,salida,13,65,1848153.85,109791.21,71.29,aumento_observado,media
PERF_0025,entrada,10,3,150000.0,,,evidencia_insuficiente,alta
PERF_0026,salida,14,78,1316857.14,15692.31,15.49,estabilidad_observada,media
PERF_0026,entrada,13,5,220769.23,-12637.36,-68.69,disminucion_observada,media
PERF_0027,salida,13,70,2848153.85,50472.53,21.27,estabilidad_observada,media
PERF_0027,entrada,10,3,192000.0,,,evidencia_insuficiente,alta
PERF_0028,salida,13,71,2997384.62,-3554.95,-1.42,estabilidad_observada,media
PERF_0028,entrada,13,7,382230.77,28000.0,87.91,aumento_observado,media
PERF_0029,salida,13,73,1194461.54,104.4,0.1,estabilidad_observada,media
PERF_0030,salida,14,70,513857.14,-11389.01,-28.81,disminucion_observada,media
PERF_0030,entrada,6,2,57666.67,,,evidencia_insuficiente,alta
PERF_0031,salida,14,90,1566500.0,-13918.68,-11.55,estabilidad_observada,media
PERF_0031,entrada,13,9,1105846.15,116719.78,126.66,aumento_observado,media
PERF_0032,salida,13,81,1112461.54,116285.71,125.44,aumento_observado,media
PERF_0032,entrada,12,5,319583.33,-16667.83,-57.37,disminucion_observada,media
PERF_0033,salida,14,80,675214.29,4863.74,9.36,estabilidad_observada,media
PERF_0033,entrada,11,18,779000.0,32781.82,42.08,aumento_observado,media
PERF_0034,salida,13,61,2173692.31,34494.51,19.04,estabilidad_observada,media
PERF_0034,entrada,13,19,691461.54,-9087.91,-15.77,estabilidad_observada,media
PERF_0035,salida,14,70,816000.0,-9846.15,-15.69,estabilidad_observada,media
PERF_0035,entrada,14,26,325071.43,-8217.58,-32.86,disminucion_observada,media
PERF_0036,salida,14,86,934714.29,-33107.69,-46.05,disminucion_observada,media
PERF_0036,entrada,12,6,1433250.0,60618.88,46.52,aumento_observado,media
PERF_0037,salida,14,63,1664357.14,-83263.74,-65.04,disminucion_observada,media
PERF_0037,entrada,13,30,2028615.38,144395.6,85.42,aumento_observado,media
PERF_0038,salida,14,94,1724642.86,-30929.67,-23.31,estabilidad_observada,media
PERF_0038,entrada,14,6,1189928.57,-109927.47,-120.1,disminucion_observada,media
PERF_0039,salida,14,91,1665142.86,69639.56,54.37,aumento_observado,media
PERF_0039,entrada,12,8,1179250.0,-42877.62,-40.0,disminucion_observada,media
PERF_0040,salida,14,71,658428.57,7468.13,14.75,estabilidad_observada,media
PERF_0040,entrada,14,16,389642.86,-22125.27,-73.82,disminucion_observada,media
PERF_0041,salida,14,88,2601785.71,-59400.0,-29.68,disminucion_observada,media
PERF_0041,entrada,11,12,1572545.45,246990.91,157.06,aumento_observado,media
PERF_0042,salida,13,69,3934615.38,67582.42,20.61,estabilidad_observada,media
PERF_0042,entrada,13,29,1436153.85,50681.32,42.35,aumento_observado,media
PERF_0043,salida,13,72,747230.77,-6736.26,-10.82,estabilidad_observada,media
PERF_0043,entrada,10,3,168000.0,,,evidencia_insuficiente,alta
PERF_0044,salida,13,64,1689230.77,6565.93,4.66,estabilidad_observada,media
PERF_0044,entrada,10,4,210000.0,,,evidencia_insuficiente,alta
PERF_0045,salida,14,70,577285.71,-7762.64,-17.48,estabilidad_observada,media
PERF_0045,entrada,10,3,150000.0,,,evidencia_insuficiente,alta
PERF_0046,salida,14,86,1131642.86,27821.98,31.96,aumento_observado,media
PERF_0046,entrada,10,3,171000.0,,,evidencia_insuficiente,alta
PERF_0047,salida,13,79,1485153.85,36269.23,29.31,aumento_observado,media
PERF_0047,entrada,10,3,267000.0,,,evidencia_insuficiente,alta
PERF_0048,entrada,14,22,958500.0,54450.55,73.85,aumento_observado,media
PERF_0048,salida,14,73,2004071.43,-53395.6,-34.64,disminucion_observada,media
PERF_0049,salida,14,87,2583857.14,-30624.18,-15.41,estabilidad_observada,media
PERF_0049,entrada,12,10,926750.0,255.24,0.3,estabilidad_observada,media
PERF_0050,salida,14,72,802928.57,-32472.53,-52.58,disminucion_observada,media
PERF_0050,entrada,14,13,914142.86,12259.34,17.43,estabilidad_observada,media
PERF_0051,salida,14,78,2176071.43,-82090.11,-49.04,disminucion_observada,media
PERF_0051,entrada,13,13,2580230.77,-29829.67,-13.87,estabilidad_observada,media
PERF_0052,entrada,13,8,1066076.92,-85796.7,-96.57,disminucion_observada,media
PERF_0052,salida,14,88,1678714.29,-12426.37,-9.62,estabilidad_observada,media
PERF_0053,salida,14,76,1508714.29,41349.45,35.63,aumento_observado,media
PERF_0053,entrada,14,16,653500.0,-42380.22,-84.31,disminucion_observada,media
PERF_0054,salida,13,65,1843615.38,69230.77,45.06,aumento_observado,media
PERF_0054,entrada,11,7,197272.73,10818.18,54.84,aumento_observado,media
PERF_0055,salida,14,74,1402857.14,-19762.64,-18.31,estabilidad_observada,media
PERF_0055,entrada,12,6,223333.33,8601.4,42.37,aumento_observado,media
PERF_0056,salida,13,70,2172307.69,-653.85,-0.36,estabilidad_observada,media
PERF_0056,entrada,13,10,420307.69,13653.85,38.98,aumento_observado,media
PERF_0057,salida,13,68,1411846.15,-12005.49,-10.2,estabilidad_observada,media
PERF_0057,entrada,14,24,2256285.71,34848.35,20.08,estabilidad_observada,media
PERF_0058,salida,13,87,873692.31,-19846.15,-27.26,disminucion_observada,media
PERF_0058,entrada,13,5,1009538.46,-92340.66,-109.76,disminucion_observada,media
PERF_0059,salida,13,90,574076.92,-22912.09,-47.89,disminucion_observada,media
